Image; Image size; Detection time
01_Kr; [94 x 147]; 0.0718396
01_sample; [2736 x 3648]; 1.47464
02_sample; [1080 x 1440]; 1.4619
engine; [985 x 696]; 1.35311
engine1; [725 x 482]; 1.15724
engine2; [888 x 567]; 1.15577
engine3; [800 x 450]; 1.02862
engine4; [895 x 468]; 0.952894
engine5; [970 x 647]; 1.172
lenna; [512 x 512]; 1.23236
